tweet,abusive,hateful,offensive,disrespectful,fearful,normal,tweet_cleaned,tweet_length
call sis im boy girl still faggot shut,0,0,1,0,0,0,call sis boy girl still faggot shut,7
@user @user legit nilas retarded idk,0,0,1,1,0,0,legit nilas retarded idk,4
said retard @url,1,1,1,0,1,0,said retard,2
america another 8 years obama's ideology via hillary we'd well way shithole country.,1,1,0,1,1,1,america another years obama ideology via hillary we would well way shithole country,13
@user don... fucking made cry twat.,0,0,1,0,0,0,don fucking made cry twat,5
one wants 2 negro swan,0,0,1,0,0,0,wants negro swan,3
@user @user @user hahaha. one trump's shithole countries?,0,0,1,0,0,0,hahaha trump shithole countries,4
u juul ur faggot,0,0,1,0,0,0,juul ur faggot,3
@user @user even called country shithole people shithole people. sad.,0,0,1,0,0,0,even called country shithole people shithole people sad,8
canadians never met seen associated person currently labelled retarded . plan @url,0,0,1,0,0,0,canadians never met seen associated person currently labelled retarded plan,10
@user @user south africa years come. keep supporting loud mouth poli @url,0,0,1,0,0,0,south africa years come keep supporting loud mouth poli,9
@user i'm oprah winfrey. oprah singing faggot,0,0,1,0,0,0,am oprah winfrey oprah singing faggot,6
hahaha grow faggot @url,0,0,1,0,0,0,hahaha grow faggot,3
@user michael - live one 'shithole' countries tell caravan respective @url,0,0,1,0,0,0,michael live shithole countries tell caravan respective,7
saturday everyone remember beer liquor never sicker liquor beer fucking twat man fuck,0,0,1,0,0,0,saturday everyone remember beer liquor never sicker liquor beer fucking twat man fuck,13
dope new gospel - lighter flick. soul beat. win. fire already. keep mind i'm negro / open min @url,0,0,0,0,0,1,dope new gospel lighter flick soul beat win fire already keep mind am negro open min,16
@user queue fucking retarded makes everyone feel like even chance make fcfs fucksake,0,1,1,0,0,0,queue fucking retarded makes everyone feel like even chance make fcfs fucksake,12
@user mexican spic dora,0,1,0,1,0,0,mexican spic dora,3
shorty called faggot cause respond lmfaoooo,0,0,1,0,0,0,shorty called faggot cause respond lmfaoo,6
@user ok maybe send finished,0,0,0,0,0,1,ok maybe send finished,4
@user cunt embarrassment club,0,1,0,1,0,0,cunt embarrassment club,3
wow watching documentary evidence sexual assault cases.. wonder rapists believe whatev @url,0,0,1,0,0,0,wow watching documentary evidence sexual assault cases wonder rapists believe whatev,11
@user que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,0,1,0,0,0,1,que ce ne soit pas des burundais refugies alerte car leur corps sont visibles loeil nu,16
dude i'm tired retarded,0,0,1,0,0,0,dude am tired retarded,4
mongoloid ordered 9 dozen donuts 8 called back see sell craft coffee,0,1,0,0,0,0,mongoloid ordered dozen donuts called back see sell craft coffee,10
also believes slaves immigrants. he's fool disgrace injustices done *his* gop white peop @url,0,0,1,0,0,0,also believes slaves immigrants he is fool disgrace injustices done his gop white peop,14
pretty sure employee philip green called 'balding racist sexist twat' would perceived dismi @url,0,0,1,0,0,0,pretty sure employee philip green called balding racist sexist twat would perceived dismi,13
3 people shot armed police officers dumb twat @url,1,0,1,0,0,0,people shot armed police officers dumb twat,7
@user would honduras guatemala quality shithole countries?...,0,0,1,0,0,0,would honduras guatemala quality shithole countries,6
@user @user btw. allowed say shithole countries? also allowed say wes @url,0,0,0,0,0,1,btw allowed say shithole countries also allowed say wes,9
yepnnplus spic &amp; span waxed &amp; buffed: fitting suspects dishevelled profile; new posters (not faded th @url,0,0,1,0,0,0,yepnnplus spic amp span waxed amp buffed fitting suspects dishevelled profile new posters not faded th,16
@user @user trump voice:nmy friend chinaman longer us #chanded,0,0,1,0,0,0,trump voice nmy friend chinaman longer us chanded,8
bitch retarded  hate @url,0,0,1,0,0,0,bitch retarded hate,3
@user migrants.7z,1,0,0,0,0,1,migrantsz,1
hetero guy: faggot bet wanna suck dick nnme: @url,0,0,1,0,0,1,hetero guy faggot bet wanna suck dick nnme,8
@user fallait pad arriver en retard,1,1,1,1,0,1,fallait pad arriver en retard,5
using word retard form great way make lose huge amount respect you.,0,1,1,1,1,1,using word retard form great way make lose huge amount respect you,12
everyone knows feminazi's r lying gd teeth @user @user @user @url,0,0,1,0,0,0,everyone knows feminazi lying gd teeth,6
@user care moral voters; want liberals illegal aliens ms13...,0,0,1,0,0,0,care moral voters want liberals illegal aliens ms,8
@user still bitter cunt. much interest arsenal? player player fod us get sold.,1,1,0,0,0,0,still bitter cunt much interest arsenal player player fod us get sold,12
1 box pencil mongol no.2 pencil case na may blessing ng holy water quiapo/st. jude.,0,0,0,0,0,1,box pencil mongol no pencil case na may blessing ng holy water quiapo st jude,15
@user @user losely quote trump/trumpers. dont need immigrants - vietnam country. @url,0,0,1,0,0,0,losely quote trump trumpers do nt need immigrants vietnam country,10
@user @user second grade called dirty jew another second grade girl. made sense @url,0,0,1,0,0,0,grade called dirty jew another grade girl made sense,9
@user shut raghead.....,0,0,1,0,0,0,shut raghead,2
@user what's spic_,0,0,1,1,0,0,what is spic,3
think women might retarded bro. like possesses y'all say shit y'all say? ,0,0,1,0,0,0,think women might retarded bro like possesses you all say shit you all say,14
children = 52% refugees,1,1,0,0,1,1,children refugees,2
@user @user msnbc identified terrorist organization! leftist media well!,1,0,1,1,1,1,msnbc identified terrorist organization leftist media well,7
doesnt right? negro default,0,1,1,1,1,1,does nt right negro default,5
@user wtf gym king phone little twat,0,0,1,0,0,0,wtf gym king phone little twat,6
absolute mongoloid gtfo lmaooo @url,0,0,1,0,0,0,absolute mongoloid gtfo lmaoo,4
retarded. okay perfect.,0,0,1,0,0,0,retarded okay perfect,3
@user @user coincidentally timed caravan love coming shithole countries pretty sure unrelated ,0,1,0,0,0,0,coincidentally timed caravan love coming shithole countries pretty sure unrelated,10
fucking hate sonic drops coins valuable little cunt slow,0,0,1,0,0,0,fucking hate sonic drops coins valuable little cunt slow,9
@user mean platonic dyke way @url,0,0,0,0,0,1,mean platonic dyke way,4
@user haiti listed second worse place travel shithole talking @url,0,0,0,0,0,1,haiti listed worse place travel shithole talking,7
dyke nation? @url,0,0,1,0,0,0,dyke nation,2
@user put mic retard,0,0,1,0,0,0,put mic retard,3
okay forgive u- u spic ;) @url,0,0,1,0,0,0,okay forgive spic,3
many mdsz's classical golden scenes cut stupid retarded shitty idea going @url,0,0,1,0,0,1,many mdsz classical golden scenes cut stupid retarded shitty idea going,11
parar anorexic mongol.,0,0,0,0,0,1,parar anorexic mongol,3
@user @user parody one thing twat funny.,0,0,1,0,0,0,parody thing twat funny,4
@user swear .. white people fucking retarded ...,0,1,0,1,0,0,swear white people fucking retarded,5
never called kike dirty jew @user began campaign. hateful rhetoric ha @url,0,1,0,0,0,1,never called kike dirty jew began campaign hateful rhetoric ha,10
@user called faggot stole wall burger king bathroom,0,0,1,0,0,0,called faggot stole wall burger king bathroom,7
