tweet,abusive,hateful,offensive,disrespectful,fearful,normal,tweet_cleaned
@user good thing donald trump never vilifies democrats group. muslims mexicans residents shithole countries.,0,0,0,0,0,1,good thing donald trump never vilifies democrats group muslims mexicans residents shithole countries
@user could point come shithole countries know feel phrase too.,0,0,1,1,0,0,could point come shithole countries know feel phrase too
dropshot bo4 youre fucking faggot,0,0,1,0,0,0,dropshot bo you re fucking faggot
@user r word? mean retard?,0,0,1,0,0,0,word mean retard
@user @user @user grown ups show faces use thea names.mongoloid,0,0,1,0,0,0,grown ups show faces use thea namesmongoloid
@user @user dont find credible feminazi women lie vicious nasty revengeful @url,0,0,0,0,0,1,do nt find credible feminazi women lie vicious nasty revengeful
i'll never forget dreads hella short bitch twitter called dyke,0,0,1,0,0,0,will never forget dreads hella short bitch twitter called dyke
@user @user macron eurafrica dream going fun kids grandchildren.,0,0,1,0,0,0,macron eurafrica dream going fun kids grandchildren
@user many dead illegal aliens vote blue november dems arent worried,0,0,1,0,0,0,many dead illegal aliens vote blue november dems are nt worried
@user read somewhere leftist mag terrorist events like breivik's massacre precede cultural sh @url,0,0,0,1,0,1,read somewhere leftist mag terrorist events like breivik massacre precede cultural sh
@user mexican faggot always ruining shit,1,0,1,0,0,0,mexican faggot always ruining shit
absolute waste oxygen twat is!! blame media hate @user @url,0,0,1,0,0,0,absolute waste oxygen twat is blame media hate
holy crap ching chong font @url,1,1,1,0,1,1,holy crap ching chong font
@user trailer trash tammy keeping real republicunts.,0,0,1,0,0,0,trailer trash tammy keeping real republicunts
@user lmfaooooo dawg u retarded,0,0,0,0,0,1,lmfaoo dawg retarded
donald trump wants wall across north africa keep refugees europe @url,0,0,0,0,0,1,donald trump wants wall across north africa keep refugees europe
boyfriend retard,0,0,1,0,0,0,boyfriend retard
@user jen reached full blown retard. stop it.,0,0,1,0,0,0,jen reached full blown retard stop it
@user think retarded.. metro already jumping tmobile towers customer metro cps f @url,0,0,1,0,0,0,think retarded metro already jumping tmobile towers customer metro cps
father dinosaur. mother gave raise ungrateful faggot.,0,1,0,0,0,0,father dinosaur mother gave raise ungrateful faggot
supposed 5 minutes dumb cunt,0,0,1,0,0,0,supposed minutes dumb cunt
@user shausha mongol,0,1,0,1,0,0,shausha mongol
@user like 'mongoloid' better anyways.,0,1,1,0,0,0,like mongoloid better anyways
can't believe number retarded jokes heard past couple days though.......... yall. 2018,0,0,0,0,0,1,can not believe number retarded jokes heard past couple days though all
@user @user aye spic promo,0,0,1,0,0,0,aye spic promo
@user whats ching chong bling blong,0,0,1,0,0,0,what ching chong bling blong
@user think retarded mutuals possibly never,0,0,1,0,0,0,think retarded mutuals possibly never
really can't put level intelligence next semi-retard point ,0,1,1,1,1,1,really can not put level intelligence next semi retard point
=d =d =d =d =dni want bloke site (the chinaman)!!! lol =d =d =d @url,0,0,0,0,0,1,dni want bloke site the chinaman lol
@user one days one illegal aliens r going bring deadly disease kill half c @url,0,0,1,0,0,0,days illegal aliens going bring deadly disease kill half
faggot got crucified,0,0,1,0,0,0,faggot got crucified
@user stat sheet fucking mongoloid.,0,0,1,0,0,0,stat sheet fucking mongoloid
headline:nthat twat morgan talks sense change.n@url,0,0,1,0,0,0,headline nthat twat morgan talks sense changenurl
@user comes movie since saying retard unwoke replaced family friendly version,0,0,1,0,0,0,comes movie since saying retard unwoke replaced family friendly version
think i'm finally 3 years. fucking cunt.,0,0,1,0,0,0,think am finally years fucking cunt
im longer crying would like say wordsnnfuck shithole countrynfuck 'elite' univer @url,0,0,0,0,0,1,longer crying would like say wordsnnfuck shithole countrynfuck elite univer
@user nyt went full retard,0,0,0,0,0,1,nyt went full retard
lmaooo one kefe says look like cunt i'm gonna lose shit swear hahahahahaha. @url,0,0,0,0,0,1,lmaoo kefe says look like cunt am gon na lose shit swear hahahahahaha
@user like kris commons soup taker ,0,0,0,0,0,1,like kris commons soup taker
@user state cunt comparing little known comedian president entire country - yeah @url,0,0,1,0,0,0,state cunt comparing little known comedian president entire country yeah
sad cunt @url,0,0,1,0,0,0,sad cunt
@user @user @user really want go there? lol...either sheltered ignorant twat @url,1,0,1,0,0,0,really want go there lol either sheltered ignorant twat
outside snow faling ching chong,0,0,1,0,0,0,outside snow faling ching chong
@user @user @user @user wtf even mean? muslims refugees... europe... ar @url,0,0,1,0,0,0,wtf even mean muslims refugees europe ar
@user lmao fucking retard trump supporters told joey fuck vid,0,0,1,0,0,0,lmao fucking retard trump supporters told joey fuck vid
going university almost unimaginable refugees.,0,0,1,0,0,0,going university almost unimaginable refugees
golden retrievers smpr ta parse mongol @url,0,0,1,0,0,0,golden retrievers smpr ta parse mongol
@user @user yeah used call friends gay retarded time. i'm piece shit ,0,1,1,0,0,0,yeah used call friends gay retarded time am piece shit
@user @user fact guys bio reads shithole countries shows small @url,0,1,0,1,0,0,fact guys bio reads shithole countries shows small
get retarded phone calls,0,0,1,0,0,1,get retarded phone calls
one say spic im sick,0,0,1,0,0,0,say spic sick
@user @user everything gay yo faggot ass,0,0,1,0,0,0,everything gay yo faggot ass
fucking retard hate older people *claps 4 times* -john mauer 2018,0,0,1,0,0,0,fucking retard hate older people claps times john mauer
retarded,0,0,1,0,0,0,retarded
@user @user forgetting group mongy stoke fans waiting outside left ground? @url,0,0,0,0,0,1,forgetting group mongy stoke fans waiting outside left ground
@user retard? jeez!!,0,1,1,0,0,0,retard jeez
@user could care less little feminazi. screwed way top long trail discontent. @url,0,1,0,1,0,0,could care less little feminazi screwed way top long trail discontent
@user shame born shithole country. barrister law studied hard protect r @url,0,0,1,0,0,0,shame born shithole country barrister law studied hard protect
applied like four different schools ugh hope least get accepted one lmao know im retarded like please,0,0,1,0,0,0,applied like different schools ugh hope least get accepted lmao know retarded like please
@user predicted joke even made it. get good material fucking mongoloid,0,1,0,0,0,0,predicted joke even made it get good material fucking mongoloid
could go one #shithole countries right?nyeah alabama. rikers middle fina @url,0,0,0,0,0,1,could go shithole countries rightnyeah alabama rikers middle fina
@user cunt #snowflake,0,0,1,0,0,0,cunt snowflake
per kerala govt devotees sabarimala r seems 2b terrorist n naxalites maoist n leftist peace loving cit @url,0,0,1,0,0,0,per kerala govt devotees sabarimala seems terrorist naxalites maoist leftist peace loving cit
drunk cunt ,0,1,1,0,0,0,drunk cunt
@user @user @user woman. tool. make feel unsafe. how's retard.,0,0,1,0,0,0,woman tool make feel unsafe how is retard
aw nut cunt fkn gee lift home,1,0,0,1,0,0,aw nut cunt fkn gee lift home
hahaha grow faggot @url,0,0,1,0,0,0,hahaha grow faggot
@user right $1 retard got fucking live support,0,0,1,0,0,0,right retard got fucking live support
come fuck nfl fuck usa looking great right hand knock @user retard-iment @url,0,1,0,0,0,0,come fuck nfl fuck usa looking great right hand knock retard iment
@user well demi got nigger. say more. ima grab little coke ima come see like.,0,0,1,0,0,0,well demi got nigger say more grab little coke come see like
marketbuy lowcap trash like retard?nnyes.nndid feel good?nnyes.nnwill get rekt?nnyes.,0,0,0,0,0,1,marketbuy lowcap trash like retardnnyesnndid feel goodnnyesnnwill get rektnnyes
@user @user @user reason shithole country. greed cowardice stupidity @url,0,0,1,0,0,0,reason shithole country greed cowardice stupidity
stan's mom: stan tell watching osbournes? going make retarded!,0,0,1,0,0,0,stan mom stan tell watching osbournes going make retarded
everything spic nature listening alternative rock,0,0,0,0,0,1,everything spic nature listening alternative rock
@user fuck want literal retard,1,1,1,0,0,1,fuck want literal retard
yepnnplus spic &amp; span waxed &amp; buffed: fitting suspects dishevelled profile; new posters (not faded th @url,0,0,1,0,0,0,yepnnplus spic amp span waxed amp buffed fitting suspects dishevelled profile new posters not faded th
@user @user gonna track fucker defuse him. dont want isis members round ends. twat.,0,1,0,0,0,0,gon na track fucker defuse him do nt want isis members round ends twat
help nigger help nigger help aniger,1,1,1,1,0,1,help nigger help nigger help aniger
got retard strength  @url,0,0,1,0,0,0,got retard strength
@user let's kid ourselves. nonwhite country 99% chance third world shithole one vote.,0,1,0,0,0,0,let us kid ourselves nonwhite country chance world shithole vote
anyways imma take nap there's fascists everywhere shithole country hope die yeehaw ,0,0,1,0,0,0,anyways imma take nap there is fascists everywhere shithole country hope die yeehaw
@user leader free world anymore. twat. (expletives suppressed.),0,0,1,0,0,0,leader free world anymore twat expletives suppressed
tell somebody bout mongoloid?,0,0,1,0,0,0,tell somebody bout mongoloid
@user look retarded,0,1,0,1,0,0,look retarded
cunt!!! @url,0,0,1,0,0,0,cunt
think translates nyou twat  @url,0,1,1,1,0,0,think translates nyou twat
@user dont give f*ck little ching chong k pop dude. hopefully next life actually see sing,0,1,1,0,0,0,do nt give fck little ching chong pop dude hopefully next life actually see sing
@user @user @user @user bwaaaahaahaa  pure comedy gold 15 year old twat thought @url,0,0,1,0,0,0,bwaahaahaa pure comedy gold year old twat thought
pretty sure got called faggot frat boy game okay bc another frat boy like hey 20 @url,0,0,1,0,0,0,pretty sure got called faggot frat boy game okay bc another frat boy like hey
@user suspicion upstairs old chinaman neighbor feigning mental illness since 3 years ago slamming ga @url,0,0,1,0,0,0,suspicion upstairs old chinaman neighbor feigning mental illness since years ago slamming ga
nigger behind boats directing imagine that.,1,0,1,0,0,0,nigger behind boats directing imagine that
make sure place least spic span inviting leo over.,0,0,0,0,0,1,make sure place least spic span inviting leo over
yeah can't careful. know people shithole countries mi @url,0,0,1,0,0,0,yeah can not careful know people shithole countries mi
@user good disrupt commerce dead raghead @url,0,0,1,0,0,0,good disrupt commerce dead raghead
dirty stupid nigger typical @url,0,0,1,0,0,0,dirty stupid nigger typical
@user @user let stopped selling spic nuggets,0,0,1,0,0,0,let stopped selling spic nuggets
@user great saturday afternoon entertainment fairfax park 4 goals 3points fantastic faggot chips @url,0,0,1,0,0,0,great saturday afternoon entertainment fairfax park goals points fantastic faggot chips
@user mean mongol hordes?,0,1,0,0,0,0,mean mongol hordes
@user @user probably weeb faggot,0,0,1,0,0,0,probably weeb faggot
@user woke nigger,0,1,1,0,0,0,woke nigger
@user put mic retard,0,0,1,0,0,0,put mic retard
@user lmfaooo nigga said nigger,0,0,1,0,0,0,lmfaoo nigga said nigger
@user @user popcorn  selfies stick i'd snap cunt,0,0,1,0,0,0,popcorn selfies stick would snap cunt
@user lol. called twat you? :d,0,0,1,0,0,0,lol called twat you
dyke finna get dicked one fine day,1,1,0,1,1,1,dyke finna get dicked fine day
@user twat offense could maybe hit 2 sometime soon,0,0,1,0,0,0,twat offense could maybe hit sometime soon
@user yes retard,0,0,1,0,0,0,yes retard
@user dear isreal still intellectual terrorists inside country enjoy backing pseudo @url,0,0,1,0,0,0,dear isreal still intellectual terrorists inside country enjoy backing pseudo
@user seriously. kavvanaughs accuser arrested taken mexico alongside illegal aliens mexi @url,0,1,1,0,0,0,seriously kavvanaughs accuser arrested taken mexico alongside illegal aliens mexi
@user yes ching chong course,0,0,1,0,0,0,yes ching chong course
@user @user @user leftist read social media posts hated refugees immi @url,0,1,0,0,1,0,leftist read social media posts hated refugees immi
@user @user many lawyers like keyamo shithole country!,0,0,1,0,0,0,many lawyers like keyamo shithole country
shut fuck fat singing cunt. sound like 3 malnourished cats suit case.,0,0,1,0,0,0,shut fuck fat singing cunt sound like malnourished cats suit case
however want repeat history people think we're superior shithole countries. we're h @url,0,0,0,0,0,1,however want repeat history people think we are superior shithole countries we are
